Speed,LapDistPct,Lat,Lon,Brake,Throttle,RPM,SteeringWheelAngle,Gear,Clutch,ABSActive,DRSActive,LatAccel,LongAccel,VertAccel,Yaw,YawRate,PositionType
45.472725,0.50599945,34.13616583402576,-83.81739343846938,0.14106995,0.017755857,6716.047,-0.1628359,2,1,false,false,-11.494847,-4.0921044,11.857382,2.2489114,-0.18012483,3
45.386677,0.5061869,34.1361650229524,-83.81740157084067,0.17359707,4.656613e-10,6694.2056,-0.14855362,2,1,false,false,-10.500214,-5.338886,11.196219,2.2460012,-0.16702263,3
45.26964,0.506374,34.1361641216375,-83.81740970321195,0.21160492,0,6780.312,-0.1347464,2,1,false,false,-9.298538,-7.221068,10.769545,2.2433507,-0.1494642,3
45.12868,0.5065604,34.13616330946363,-83.81741783557807,0.24484687,0,6906.8423,-0.123080686,2,1,false,false,-8.376261,-8.355071,10.780918,2.2410154,-0.13094637,3
44.979465,0.5067463,34.13616249839028,-83.8174258595256,0.2653402,0,6997.1177,-0.11236876,2,1,false,false,-7.2126846,-8.434926,10.167123,2.2389762,-0.11608103,3
44.836143,0.50693154,34.136161777558456,-83.81743399189689,0.31514362,0,7002.6226,-0.10260791,2,1,false,false,-6.199351,-7.9298344,9.626802,2.2371316,-0.10820598,3
44.693523,0.5071162,34.13616096538459,-83.81744201583408,0.35553443,0,6922.8623,-0.09332301,2,1,false,false,-5.546679,-8.27902,10.094698,2.2353616,-0.10646929,3
44.540474,0.5073002,34.13616024455277,-83.81744993133717,0.37578934,0,6831.6494,-0.08451505,2,1,false,false,-4.9856377,-9.085183,10.05687,2.2335875,-0.10807433,3
44.37778,0.5074834,34.136159523720956,-83.8174579552847,0.40938884,0,6742.291,-0.07403976,2,1,false,false,-4.685523,-9.502993,10.103778,2.2317781,-0.1091007,3
44.20502,0.507666,34.136158801788625,-83.81746587078777,0.4384607,0,6654.088,-0.06166049,2,1,false,false,-4.4211407,-10.295838,10.173263,2.2299583,-0.108278535,3
44.020493,0.5078477,34.136158171198346,-83.81747378629086,0.4672942,0,6567.322,-0.050709214,2,1,false,false,-4.240877,-10.929786,10.2037525,2.2281797,-0.103818715,3
43.82466,0.50802875,34.13615744926602,-83.8174817018043,0.48385558,0,6481.7407,-0.038091514,2,1,false,false,-4.061409,-11.626263,10.26779,2.226501,-0.09648149,3
43.616596,0.5082086,34.136156818675744,-83.81748950888363,0.50601697,0,6442.391,-0.026425792,2,1,false,false,-3.7561638,-12.505137,10.282168,2.2249696,-0.08614708,3
43.389713,0.50838745,34.136156188085465,-83.81749742438672,0.5267486,0,6459.825,-0.016426476,2,1,false,false,-3.4996743,-13.635157,10.972459,2.2236364,-0.07445844,3
43.152786,0.5085655,34.13615546615314,-83.81750512304228,0.5316336,0,6492.217,-0.0076175667,2,1,false,false,-3.2096288,-13.867327,10.582531,2.222477,-0.06463769,3
42.916386,0.5087424,34.13615483556286,-83.81751293011128,0.5472418,0,6497.0044,-0.00166548,2,1,false,false,-2.9587548,-13.75438,9.5507145,2.2214696,-0.05612989,3
42.681282,0.5089184,34.13615429411362,-83.81752052031207,0.56499475,0,6457.601,0.0019057728,2,1,false,false,-2.7462358,-13.719888,9.569407,2.2206013,-0.047944468,3
42.442165,0.5090934,34.136153663523345,-83.81752821896764,0.57214355,0,6384.866,0.0030952697,2,1,false,false,-2.6454875,-14.032578,10.331887,2.2198594,-0.041808408,3
42.204502,0.5092674,34.136153031832556,-83.81753580918911,0.5785775,0,6308.6113,0.0026202071,2,1,false,false,-2.3819463,-13.75137,9.961523,2.2192204,-0.035478428,3
41.971325,0.50944036,34.13615249148382,-83.8175433993899,0.58894324,0,6244.401,-0.0002375312,2,1,false,false,-2.0111496,-13.603096,8.59107,2.2186868,-0.030141637,3
41.73449,0.50961244,34.13615185979303,-83.81755088117728,0.59537697,0,6185.091,-0.0047607496,2,1,false,false,-1.8023936,-14.083198,8.743048,2.218218,-0.0277059,3
41.489883,0.50978345,34.136151319444295,-83.81755836296465,0.6016921,0,6122.0747,-0.010474385,2,1,false,false,-1.7758423,-14.390657,8.784884,2.2177567,-0.028725358,3
41.242634,0.5099535,34.136150777995056,-83.81756584473135,0.6044324,0,6061.387,-0.016426474,2,1,false,false,-1.690738,-14.5687275,8.7113,2.21727,-0.02986408,3
40.994324,0.5101225,34.13615023764632,-83.81757321808462,0.6147981,0,6011.108,-0.021902582,2,1,false,false,-1.5838531,-14.452053,8.459454,2.2167823,-0.03061864,3
40.742355,0.51029044,34.13614969619707,-83.81758059143789,0.6187298,0,5967.4185,-0.0264258,2,1,false,false,-1.5876318,-15.004526,8.704534,2.216245,-0.03411582,3
40.48533,0.5104573,34.13614915584834,-83.81758785635706,0.6209937,0,5920.3237,-0.028806634,2,1,false,false,-1.507102,-15.00479,8.774971,2.2156572,-0.037610967,3
40.230698,0.5106231,34.13614861439909,-83.81759512127624,0.62468725,0,5869.116,-0.02952106,2,1,false,false,-1.4305404,-14.96706,8.71527,2.215004,-0.04105365,3
39.97406,0.5107878,34.136148074050354,-83.81760238619542,0.62468725,0,5813.861,-0.029282616,2,1,false,false,-1.4284152,-15.106346,8.840657,2.214311,-0.042630296,3
39.714725,0.5109516,34.13614753260111,-83.8176095426805,0.6336233,0,5758.857,-0.027377764,2,1,false,false,-1.4493902,-15.278263,9.066155,2.2135859,-0.044175167,3
39.45089,0.5111141,34.13614699225237,-83.81761659073148,0.63278925,0,5713.9053,-0.024996921,2,1,false,false,-1.4566975,-15.567952,9.287951,2.2128499,-0.044431984,3
39.186752,0.51127565,34.13614654104467,-83.81762374721656,0.63135946,0,5684.794,-0.022140106,2,1,false,false,-1.4038619,-15.565311,9.452527,2.2120945,-0.046302944,3
38.919483,0.511436,34.13614600069593,-83.81763068683344,0.63135946,0,5661.654,-0.019760195,2,1,false,false,-1.4794937,-15.724283,9.743915,2.211332,-0.04525253,3
38.65066,0.5115953,34.136145549488226,-83.81763773490509,0.6232574,0,5636.5776,-0.017616887,2,1,false,false,-1.5382941,-15.815169,10.025274,2.2105684,-0.046215236,3
38.386524,0.51175344,34.13614509828052,-83.81764467452197,0.62564033,0,5608.7896,-0.016188938,2,1,false,false,-1.5783494,-15.338472,9.56064,2.209795,-0.046387676,3
38.125797,0.51191056,34.136144557931786,-83.81765150570476,0.6242106,0,5578.8774,-0.015474504,2,1,false,false,-1.5468454,-15.3038435,9.078538,2.2090273,-0.04541554,3
37.86662,0.51206654,34.13614410672408,-83.81765833690822,0.6205171,0,5547.8213,-0.015474507,2,1,false,false,-1.4658567,-15.082325,8.595182,2.2082913,-0.04343264,3
37.60966,0.5122215,34.13614365661689,-83.817665168091,0.6173002,0,5518,-0.016188946,2,1,false,false,-1.3417699,-15.0792055,8.486882,2.207594,-0.04146544,3
37.353577,0.5123754,34.136143205409184,-83.81767189086037,0.6128917,0,5490.162,-0.018092874,2,1,false,false,-1.2874258,-14.848691,8.388398,2.2069716,-0.035900045,3
37.103878,0.51252824,34.13614275420148,-83.81767861360905,0.6083641,0,5455.2075,-0.020473711,2,1,false,false,-1.1828285,-14.507884,8.069886,2.2064328,-0.03228888,3
36.861366,0.5126801,34.136142304094285,-83.81768522794431,0.607411,0,5394.145,-0.023092996,2,1,false,false,-1.1618445,-13.968311,7.7312646,2.2059364,-0.030593725,3
36.630127,0.5128309,34.13614194312812,-83.81769184227957,0.6044323,0,5324.264,-0.024996927,2,1,false,false,-1.1060215,-13.418958,7.513495,2.2054243,-0.033739552,3
36.400616,0.5129809,34.13614149302092,-83.81769845661483,0.5993089,0.75,5621.358,-0.026188264,0,1,false,false,-1.0774566,-13.650709,7.8187327,2.2048285,-0.038752392,3
36.16315,0.51312983,34.13614104181322,-83.81770496249533,0.5938283,0,6001.2954,-0.025949815,1,1,false,false,-1.0354538,-14.226689,8.131448,2.2041223,-0.04624105,3
35.914425,0.5132778,34.136140680847056,-83.8177114683758,0.58822846,0,5923.782,-0.025235381,1,1,false,false,-1.1973609,-14.877692,8.614489,2.2032971,-0.05084064,3
35.65616,0.5134247,34.13614023073986,-83.81771786584287,0.5850114,0,5886.499,-0.024283417,1,1,false,false,-1.2613833,-15.484909,9.236053,2.2024388,-0.051203646,3
35.38772,0.51357055,34.13613977953216,-83.81772426330994,0.57953066,0,5964.0684,-0.023330525,1,1,false,false,-1.3112113,-15.996893,9.508425,2.2015843,-0.05058817,3
35.113174,0.51371527,34.136139418565996,-83.817730660777,0.56594783,0,6103.296,-0.023330526,1,1,false,false,-1.3670824,-16.24461,9.663319,2.200759,-0.048789367,3
34.84088,0.51385885,34.13613905870034,-83.81773694983065,0.56225425,0,6220.591,-0.025235375,1,1,false,false,-1.4270412,-15.897706,9.707675,2.1999516,-0.049196657,3
34.57664,0.5140013,34.13613860749263,-83.81774323884294,0.555582,0,6258.3096,-0.028806627,1,1,false,false,-1.5774233,-15.36107,9.829312,2.199138,-0.048644975,3
34.32037,0.5141426,34.13613824652647,-83.81774941944181,0.5456929,0,6214.7344,-0.034044288,1,1,false,false,-1.7478266,-14.859576,9.963491,2.198326,-0.04997296,3
34.07713,0.5142829,34.13613788666082,-83.81775560008204,0.54569286,0,6141.207,-0.042377215,1,1,false,false,-1.945294,-13.924791,10.020351,2.1974752,-0.052331544,3
33.844147,0.5144222,34.13613752569466,-83.81776167222613,0.53711414,0,6089.0405,-0.05309004,1,1,false,false,-2.0624988,-13.678616,10.061484,2.1965845,-0.05424573,3
33.610992,0.51456046,34.13613716472849,-83.81776774441158,0.5267484,0,6072.113,-0.06523084,1,1,false,false,-2.2089548,-13.749801,10.192762,2.1956673,-0.0552384,3
33.377274,0.5146979,34.136136804862836,-83.81777381655567,0.5124509,0,6080.037,-0.08046779,1,1,false,false,-2.3231714,-13.776507,10.094664,2.1947386,-0.056389358,3
33.144726,0.5148343,34.13613653413821,-83.8177797803277,0.5078042,0,6095.2065,-0.099513546,1,1,false,false,-2.4630861,-13.545658,9.964661,2.1937678,-0.060156856,3
32.916992,0.51496977,34.13613617317205,-83.81778574405837,0.4912427,0,6101.4966,-0.11927192,1,1,false,false,-2.6343417,-13.2617235,9.718691,2.192726,-0.064731225,3
32.696384,0.51510423,34.136135813306396,-83.81779159937562,0.4756344,0,6088.7666,-0.14736322,1,1,false,false,-2.8699381,-12.707927,9.533695,2.191601,-0.07067838,3
32.485886,0.51523787,34.13613554258177,-83.8177975631063,0.46777076,0,6059.536,-0.18235672,1,1,false,false,-3.1274006,-12.092288,9.456229,2.1903589,-0.0789139,3
32.28395,0.5153706,34.13613527185715,-83.81780330996877,0.4532348,0,6020.592,-0.22139649,1,1,false,false,-3.4133701,-11.64387,9.371259,2.1889455,-0.091578186,3
32.087654,0.5155026,34.13613491089099,-83.81780916528602,0.4456095,0,5975.3843,-0.267576,1,1,false,false,-3.797429,-11.399931,9.262896,2.1872847,-0.10851863,3
31.896603,0.51563376,34.13613464126687,-83.81781491214849,0.43000114,0,5929.8306,-0.31684893,1,1,false,false,-4.258805,-11.005645,9.010372,2.1853123,-0.12843461,3
31.711256,0.5157642,34.13613437054225,-83.81782065901096,0.41868228,0,5887.5547,-0.36397684,1,1,false,false,-4.6837163,-10.677855,8.922273,2.1829813,-0.15192638,3
31.531311,0.5158938,34.136134099817625,-83.8178264059148,0.40462285,0,5849.0605,-0.41443652,1,1,false,false,-5.134186,-10.430673,8.712464,2.1802423,-0.17666304,3
31.354967,0.51602274,34.13613391933455,-83.81783204436385,0.37876803,0,5812.4756,-0.46465588,1,1,false,false,-5.6263647,-10.196086,8.681313,2.177071,-0.20409003,3
31.184692,0.5161509,34.13613364971043,-83.81783768281291,0.36792564,0,5779.0264,-0.51058966,1,1,false,false,-5.99701,-9.701826,8.22155,2.173427,-0.23268506,3
